No,Modulo_Origen,Modulo_Destino,Tipo_Conexion,Datos_Compartidos,Trigger_Sync,Funcion_App,Impacto,Errores_Comunes,Solucion
1,Eventos,Calendario,Automatica bidireccional,fecha / nombre / tipo / pax,Al guardar evento,eventos aparecen en vista mensual del calendario,Sin evento = sin planificación visual del mes,Evento no aparece en calendario,Verificar que evento tiene fecha válida y fue guardado correctamente
2,Eventos,Dashboard,Automatica lectura,fecha / nombre / pax / hora / lugar,Al cargar dashboard / al modificar evento,Dashboard muestra eventos de hoy y próximos 7 días con badges urgencia,Primer punto de control del día para todo el equipo,Evento no aparece en inicio,Refrescar app o comprobar fecha del evento vs fecha de hoy
3,Eventos,Produccion,Automatica lectura,platos (nombre/cat/alg) / pax / tipo / factor_custom,Al abrir sección Producción y seleccionar evento,Genera ficha de producción: tabla de platos por categoría con cantidades (pax × factor),Sin esta conexión el chef no sabe qué ni cuánto cocinar,Cantidades erróneas en ficha,Verificar factor del evento (coctel=1.5 menu=1.0) y pax actualizado
4,Eventos,Pantalla Cocina (KDS),Automatica lectura,platos (nombre/cat) / pax / hora / alergias_txt / factor_custom,Al seleccionar evento en Pantalla Cocina,KDS muestra platos agrupados por categoría con badge de cantidad bump-able,Sin KDS el chef trabaja con papel; con KDS puede trackear avance en tiempo real,Platos no aparecen en KDS,Evento seleccionado en el selector de Pantalla Cocina debe tener platos asignados
5,Eventos,Vajilla,Automatica lectura,pax / tipo (coctel vs menu),Al seleccionar evento en módulo Vajilla,Calcula unidades necesarias de cada tipo de vajilla: pax × factor_coctel o × factor_menu,Evita quedarse sin vajilla durante el servicio,Calculo erroneo,Factor vajilla por defecto: coctel=1.5 menu=1.0; editable por item en módulo Vajilla
6,Eventos,Bebidas,Automatica lectura,id del evento / nombre / pax / tipo,Al seleccionar evento en módulo Bebidas,Permite planificar bebidas asociadas al evento concreto,Gestión de bar vinculada al evento específico,Evento no aparece en selector bebidas,Evento debe existir y tener fecha futura o ser el evento de hoy
7,Eventos,Historial,Automatica lectura,todos los campos del evento incluyendo precio_venta,Al abrir módulo Historial con filtro de periodo,Muestra eventos pasados con ingresos / costes / margen calculado y tendencias,Sin historial el director no puede analizar rentabilidad,Evento sin datos financieros,Asignar precio_venta al evento; sin precio el margen no puede calcularse
8,Produccion,Recetario,Manual / lookup,nombre del plato vs nombre de receta (coincidencia parcial),Al renderizar ficha de producción,Botón Ver receta aparece junto a cada plato si hay coincidencia de nombre en recetario,Permite al chef consultar receta directamente desde ficha de producción,Receta no vinculada,Nombres de platos en evento deben coincidir parcialmente (12 primeros chars) con nombres de recetas
9,Escandallo,Recetario,Automatica lectura,ingredientes + cantidades de cada receta,Al calcular coste de evento en escandallo,Calcula coste por ración sumando precio × cantidad de cada ingrediente,Margen real solo es preciso si recetas tienen ingredientes completos con precios,Coste 0 en escandallo,Receta debe tener ingredientes; ingredientes deben tener precios actualizados en módulo Precios
10,Escandallo,Precios Ingredientes,Automatica lectura,precio por unidad de cada ingrediente,Al calcular coste de receta / evento,Multiplica cantidad × precio para calcular coste por ración,Los precios de mercado cambian; actualizar mensualmente para margen real,Costes desactualizados,Ir a Escandallo > Precios y actualizar los ingredientes que han subido de precio
11,Personal,Eventos,Manual asignacion,id evento / fecha / nombre del evento,Al asignar personal desde módulo Personal,Permite marcar qué persona trabaja en qué evento específico,Visibilidad de quién está asignado a cada evento,Personal sin asignar,Asignar desde módulo Personal > cada persona > botón asignar a evento
12,Compras,Recetario + Eventos,Manual + lookup,platos de eventos de la semana → ingredientes de recetas,Al generar lista de compras en módulo Compras,Sugiere qué comprar basándose en los platos de los próximos eventos,Reduce olvidos en compras y optimiza pedidos por proveedor,Lista de compras vacía,Los eventos deben tener platos; los platos deben tener recetas con ingredientes
13,Historial,Escandallo,Automatica lectura,precio_venta + platos del evento → calcCosteEvento,Al renderizar historial,Muestra ingresos / coste estimado / margen para cada evento pasado,Análisis de rentabilidad por evento y tendencias de margen,Margen incorrecto,Actualizar precio_venta en el evento y precios de ingredientes en escandallo
14,Plantillas,Nuevo Evento,Manual aplicacion,platos / tipo / factor / alergias predefinidas,Al cargar plantilla en formulario nuevo evento,Pre-rellena platos y configuración del formulario de evento,Acelera creación de eventos repetitivos (ej: cena empresa estándar),Plantilla no carga platos,Plantilla debe tener platos guardados; recrcar plantilla si está vacía
15,Dashboard,Eventos + Vajilla + Personal,Automatica lectura,eventos de hoy y semana / alertas activas,Al cargar o refrescar el dashboard,Muestra resumen ejecutivo: eventos hoy / pax total / alertas de vajilla / margen del mes,Visión de un vistazo para cualquier rol,Dashboard no actualiza,Refrescar la app o esperar sincronización Supabase (puede tardar hasta 2s)
16,Calendario,Eventos,Bidireccional (click),fecha y eventos del mes,Al navegar el calendario,Vista mensual de todos los eventos; click en día muestra detalle de eventos de ese día,Planificación visual de carga de trabajo del mes,Dia del calendario no muestra eventos,Verificar que hay eventos con esa fecha exacta (formato YYYY-MM-DD)
17,Vajilla,Eventos (KDS / Produccion),Manual consulta,pax × factor de vajilla por tipo,Al verificar disponibilidad para un evento,Alerta visual roja/verde sobre si hay suficiente vajilla para el evento seleccionado,Previene desabastecimiento de vajilla el día del evento,Alerta siempre roja,Actualizar stock real en módulo Vajilla; el sistema compara stock vs necesidades calculadas
