No,Canal,Momento,Asunto_Template,Cuerpo_Template,Variables,Objetivo,Seguimiento,KPI,Notas
1,Email,Confirmación de reserva,"Confirmación de su evento en Oído Cocina — {nombre_evento}","Estimado/a {contacto_nombre},\n\nNos complace confirmar que su evento ha quedado registrado correctamente en Oído Cocina, restaurante gastronómico del Seda Club Hotel Granada.\n\nDETALLES CONFIRMADOS:\n• Nombre del evento: {nombre_evento}\n• Fecha: {fecha_evento}\n• Horario: {hora_inicio}h – {hora_fin}h\n• Comensales confirmados: {pax} personas\n• Espacio: {lugar}\n• Menú: {resumen_menu}\n• Precio por persona: {precio_pax}€ (IVA incluido)\n\nPara formalizar la reserva es necesario el abono de una señal del 30% ({importe_señal}€) antes del {fecha_limite_señal}, mediante transferencia bancaria a:\n\nES12 3456 7890 1234 5678 9012 — Oído Cocina S.L.\nConcepto: {nombre_evento} — {fecha_evento}\n\nUna vez recibida la señal, le enviaremos el contrato firmado digitalmente.\n\nPara cualquier modificación o consulta, estamos a su disposición.\n\nCordialmente,\n{firma_comercial}\nOído Cocina · Seda Club Hotel Granada\nTel: +34 958 000 000 | eventos@oidococina.com","contacto_nombre, nombre_evento, fecha_evento, hora_inicio, hora_fin, pax, lugar, resumen_menu, precio_pax, importe_señal, fecha_limite_señal, firma_comercial",Formalizar la reserva con todos los datos confirmados y solicitar señal de pago,Verificar recepción en 24h; llamar si no hay respuesta al pago en 5 días hábiles,Tasa de conversión de confirmación → señal pagada; tiempo medio de pago de señal (objetivo <5 días),Enviar en las 2 primeras horas tras la conversación comercial; adjuntar PDF de condiciones de servicio y política de cancelación
2,Email,Recordatorio señal pendiente,"Recordatorio: señal pendiente para su evento del {fecha_evento} en Oído Cocina","Estimado/a {contacto_nombre},\n\nLe recordamos que para confirmar definitivamente su reserva del {fecha_evento} en Oído Cocina, queda pendiente la señal de {importe_señal}€.\n\nDatos bancarios:\nIBAN: ES12 3456 7890 1234 5678 9012\nConcepto: {nombre_evento} — {fecha_evento}\nPlazo límite: {fecha_limite_señal}\n\nSi ya realizó la transferencia, por favor ignoro este mensaje y le pedimos que nos envíe el justificante para actualizar su reserva. Si tiene alguna duda sobre las condiciones, estaremos encantados de atenderle.\n\nGracias,\n{firma_comercial}\nOído Cocina · +34 958 000 000","contacto_nombre, fecha_evento, nombre_evento, importe_señal, fecha_limite_señal, firma_comercial",Recuperar señal pendiente antes del plazo sin presionar al cliente de forma negativa,Si no hay respuesta en 24h: llamada telefónica directa; si sigue sin responder en 48h más: consultar con dirección,Tasa de cobro de señal dentro del plazo; reducción de eventos sin señal confirmada,Enviar solo si han pasado 3 días hábiles desde el email de confirmación y no se ha recibido la transferencia
3,Email,Recordatorio 48h antes del evento,"Recordatorio: su evento en Oído Cocina es pasado mañana — {nombre_evento}","Estimado/a {contacto_nombre},\n\nLe recordamos que su evento '{nombre_evento}' se celebra el próximo {fecha_evento} a las {hora_inicio}h en {lugar}, Seda Club Hotel Granada.\n\nPor favor, confírmenos antes de las 12:00h del {fecha_confirmacion_pax} el número definitivo de comensales. Actualmente tenemos registradas {pax} personas.\n\nSi ha habido algún cambio en alergias o intolerancias alimentarias, es fundamental que nos lo comunique a la mayor brevedad posible para garantizar la seguridad de todos sus invitados.\n\nACCESO:\nSeda Club Hotel Granada, Camino de Ronda 107. Parking gratuito para sus invitados en las instalaciones del hotel durante todo el evento.\n\nNos comprometemos a que cada detalle esté perfecto para su celebración.\n\n¡Hasta el {fecha_evento}!\n{firma_comercial}\nOído Cocina · Seda Club Hotel Granada","contacto_nombre, nombre_evento, fecha_evento, hora_inicio, lugar, fecha_confirmacion_pax, pax, firma_comercial",Confirmar pax definitivo y detectar cambios de alergias con tiempo suficiente para adaptar la producción,Si no responde en 12h: llamada telefónica directa al contacto del evento; si no contesta: WhatsApp,Tasa de respuesta al recordatorio; % de cambios de pax solicitados en las 48h previas,Enviar exactamente a las 48h del evento; no antes para no saturar al cliente con comunicaciones
4,Email,Recordatorio 24h antes del evento,"Mañana es su evento en Oído Cocina — Todo listo para recibirles","Estimado/a {contacto_nombre},\n\n¡Mañana es el día! Un último recordatorio con todos los detalles:\n\n📍 {lugar} — Seda Club Hotel Granada, Camino de Ronda 107\n🕐 Hora de inicio: {hora_inicio}h (pueden llegar desde las {hora_bienvenida}h)\n👥 Comensales confirmados: {pax} personas\n🍽 Menú: {resumen_menu}\n\nNuestro equipo estará en puerta desde {hora_bienvenida}h para recibirles y acompañarles al espacio.\n\nContacto directo del día del evento:\n📱 {telefono_maitre} (WhatsApp disponible desde las 9:00h)\n\nEstamos muy ilusionados con su evento y pondremos toda nuestra pasión para que sea una experiencia inolvidable.\n\n¡Hasta mañana!\n{firma_comercial}","contacto_nombre, lugar, hora_inicio, hora_bienvenida, pax, resumen_menu, telefono_maitre, firma_comercial",Dar confianza al cliente con todos los datos y proporcionar contacto directo para emergencias del día,Confirmar lectura del email; si no abre en 6h enviar el mismo contenido por WhatsApp,Tasa de apertura del email pre-evento; número de cambios de último minuto recibidos,Tono más cálido y personal que los anteriores; este email reduce la ansiedad del cliente significativamente
5,Email,Post-evento agradecimiento y solicitud de feedback,"¡Gracias por celebrar con nosotros! ¿Cómo fue su experiencia en Oído Cocina?","Estimado/a {contacto_nombre},\n\nQueremos agradecerle sinceramente haber elegido Oído Cocina para '{nombre_evento}'. Fue un placer acompañarles en esta celebración especial.\n\nNos gustaría conocer su valoración sobre la experiencia:\n\n¿Quedó satisfecho/a con la calidad del menú y el producto?\n¿El servicio del equipo de sala y cocina estuvo a la altura?\n¿Repetiría o recomendaría Oído Cocina a otras personas?\n\nPuede respondernos directamente a este email con sus comentarios, o si lo prefiere, valorarnos en Google Maps en 2 minutos:\n👉 {link_google_reviews}\n\nSu opinión nos ayuda a seguir mejorando y es fundamental para nuestro equipo.\n\nAdemás, si tiene en mente celebrar otro evento próximamente, los clientes de Oído Cocina que repiten disfrutan de condiciones preferentes y servicio de cata previa sin coste.\n\nGracias de nuevo y esperamos verles pronto.\n{firma_comercial}","contacto_nombre, nombre_evento, link_google_reviews, firma_comercial",Obtener feedback cualitativo y generar reseña en Google Maps; abrir puerta a segundo evento,Verificar si el cliente deja reseña en 7 días; si no: recordatorio suave por WhatsApp con el enlace directo,Número de reseñas de Google Maps generadas por mes; NPS medio; tasa de conversión a segundo evento,Enviar entre 18h y 24h después del evento; con la experiencia aún fresca pero sin ser invasivo
6,Email,Propuesta comercial corporativa,"Propuesta exclusiva para su próximo evento corporativo en Oído Cocina — {nombre_empresa}","Estimado/a {contacto_nombre},\n\nGracias por considerar Oído Cocina, restaurante gastronómico del Seda Club Hotel Granada, para su próximo evento corporativo.\n\nTras nuestra conversación, le presentamos las siguientes opciones:\n\nOPCIÓN A — CÓCTEL NETWORKING (desde {precio_A}€/pax)\n{descripcion_opcion_A}\nIdeal para: networking, presentaciones de producto, recepciones\n\nOPCIÓN B — MENÚ DE TRABAJO (desde {precio_B}€/pax)\n{descripcion_opcion_B}\nIdeal para: almuerzos de directivos, reuniones de equipo, celebraciones\n\nOPCIÓN C — DESAYUNO EJECUTIVO (desde {precio_C}€/pax)\n{descripcion_opcion_C}\nIdeal para: kick-off de proyectos, presentaciones matinales, formaciones\n\nTODAS LAS OPCIONES INCLUYEN:\n• Espacio exclusivo {lugar_propuesto} (hasta {capacidad} personas)\n• Coordinador de eventos dedicado durante todo el servicio\n• Servicio profesional de sala\n• Menaje y decoración básica\n• Parking gratuito para todos los asistentes\n\nValidez de esta propuesta: {fecha_validez}\n\n¿Le viene bien una llamada de 15 minutos para personalizar la propuesta? Propongo el {fecha_propuesta_llamada} a las {hora_propuesta}h.\n\n{firma_comercial}","contacto_nombre, nombre_empresa, precio_A, descripcion_opcion_A, precio_B, descripcion_opcion_B, precio_C, descripcion_opcion_C, lugar_propuesto, capacidad, fecha_validez, fecha_propuesta_llamada, hora_propuesta, firma_comercial",Convertir consulta entrante en evento confirmado con propuesta clara de 3 opciones y llamada a la acción concreta,Llamada de seguimiento a los 2 días si no hay respuesta; segundo seguimiento por WhatsApp al día 5,Tasa de respuesta a propuesta; tasa de conversión propuesta → confirmado; tiempo medio de cierre (objetivo <7 días),Adjuntar siempre PDF de la propuesta con fotografías de los espacios y platos representativos de cada opción
7,Email,Reactivación cliente recurrente (6 meses sin contacto),"Han pasado varios meses — ¿cuándo es su próximo evento en Oído Cocina?","Estimado/a {contacto_nombre},\n\nHace {meses_desde_ultimo_evento} meses que tuvimos el placer de organizar '{nombre_evento_anterior}' para ustedes y queríamos saludarle.\n\nEn Oído Cocina seguimos creciendo: nueva carta de {temporada_actual} con productos de temporada de la Sierra Nevada y las Alpujarras, y nuevas posibilidades de personalización para eventos.\n\nComo cliente habitual de la casa, queremos ofrecerle condiciones preferentes para su próximo evento:\n\n⭐ Descuento del 5% sobre el precio por pax\n⭐ Servicio de cata previa gratuita (valorada en 150€)\n⭐ Prioridad en la reserva de espacios en fechas de alta demanda\n\n¿Tiene previsto algún evento en los próximos meses? Me encantaría prepararle una propuesta personalizada con lo mejor de la nueva temporada.\n\n{firma_comercial}","contacto_nombre, meses_desde_ultimo_evento, nombre_evento_anterior, temporada_actual, firma_comercial",Reactivar clientes inactivos con propuesta de valor diferencial y ventajas de fidelización,Si no responde en 5 días: WhatsApp informal de seguimiento sin presión,Tasa de reactivación de clientes con >6 meses sin evento; ROI del programa de fidelización,El módulo de historial genera automáticamente la lista mensual de clientes inactivos; usar esa lista para esta acción
8,Email,Propuesta Navidad y eventos de empresa fin de año,"Reserva ya tu Navidad en Oído Cocina — Fechas muy limitadas","Estimado/a {contacto_nombre},\n\nLa Navidad se acerca y nuestras fechas en Oído Cocina se reservan con mucha antelación.\n\nPara {nombre_empresa} tenemos disponibles las siguientes opciones:\n\n🎄 CENA DE EMPRESA (desde {precio_cena_empresa}€/pax)\nMenú de 4 vueltas con productos de temporada de invierno, vinos incluidos y ambiente festivo personalizable.\n\n🥂 CÓCTEL NAVIDEÑO (desde {precio_coctel_nav}€/pax)\nApericena navideña con canapés gourmet, cava y ambientación temática.\n\n☕ DESAYUNO NAVIDEÑO (desde {precio_desayuno_nav}€/pax)\nDesayuno especial de empresa para grupos de trabajo.\n\n🎆 NOCHEVIEJA PRIVADA (desde {precio_nochevieja}€/pax, todo incluido)\nCena de Gala con cotillón, uvas, cava hasta las 2:00h.\n\nFECHAS DISPONIBLES: {fechas_disponibles_navidad}\n\nReserva con señal del 30% antes del {fecha_limite_prebooked} y asegura tu fecha.\n\n¡Os esperamos esta Navidad!\n{firma_comercial}","contacto_nombre, nombre_empresa, precio_cena_empresa, precio_coctel_nav, precio_desayuno_nav, precio_nochevieja, fechas_disponibles_navidad, fecha_limite_prebooked, firma_comercial",Llenar el calendario de diciembre desde octubre con reservas corporativas y privadas,Seguimiento el día 15 del mes a clientes sin respuesta; llamada directa para fechas de Nochevieja,% de fechas de diciembre confirmadas antes del 15 de noviembre; ingresos de Navidad vs objetivo,Enviar en la primera semana de octubre; en noviembre ya hay mucha competencia y pocas fechas disponibles
9,WhatsApp,Confirmación inmediata post-reunión o post-llamada,"Confirmación de {tipo_evento} — Oído Cocina","Hola {contacto_nombre}! Soy {nombre_comercial} de Oído Cocina 😊\n\nTe confirmo que hemos registrado tu {tipo_evento}:\n📅 {fecha_evento} a las {hora_inicio}h\n👥 {pax} personas\n📍 {lugar}\n\nEn breve te llega el email de confirmación con todos los detalles y los datos para la señal del 30% ({importe_señal}€).\n\nEstamos muy ilusionados con tu {tipo_evento}! Cualquier duda aquí estoy. ¡Hasta pronto! 🎉","contacto_nombre, nombre_comercial, tipo_evento, fecha_evento, hora_inicio, pax, lugar, importe_señal",Confirmación inmediata y cercana que refuerza el email formal que llegará a continuación,Verificar que el email llegó correctamente; si el cliente no confirma haberlo recibido en 2h reenviar,Tasa de respuesta al WhatsApp de confirmación; velocidad de pago de señal tras recibir datos bancarios,Enviar en los primeros 5 minutos tras colgar la llamada o terminar la reunión; tono siempre cálido y personal
10,WhatsApp,Recordatorio 48h antes del evento,"Oído Cocina: confirmación para {nombre_evento} del {fecha_evento}","Hola {contacto_nombre}! 👋\n\nSu {tipo_evento} '{nombre_evento}' es el {fecha_evento} a las {hora_inicio}h en {lugar}.\n\nNecesitamos confirmar el número definitivo de personas. Actualmente tenemos {pax} confirmados.\n\nSi hay algún cambio en alergias o intolerancias, por favor indíquenoslo aquí o por email.\n\n¡Estamos preparándolo todo para que sea perfecto! 😊\n\n{firma_comercial} · Oído Cocina","contacto_nombre, tipo_evento, nombre_evento, fecha_evento, hora_inicio, lugar, pax, firma_comercial",Confirmar pax final y alergias de forma rápida e informal complementando el email formal,Si no contesta en 12h: llamada de confirmación directa al teléfono del contacto,Tasa de respuesta vía WhatsApp; % de cambios de pax detectados vía WhatsApp vs email,El WhatsApp tiene tasa de apertura del 98% vs 60% del email; usarlo siempre como canal principal a las 48h
