No,Escenario,Tipo_Cliente,Estrategia,Plantilla_Propuesta,Precio_Base,Argumentos_Venta,Upsell,Cierre,Seguimiento_Post
1,Primera consulta entrante por email o web,Empresa corporativa mediana o grande,Responder en menos de 2h con propuesta de 3 opciones (Esencial/Estándar/Premium); mostrar proactividad y conocimiento del negocio del cliente,"PDF propuesta 4 páginas: portada con nombre empresa + fecha + nombre contacto; opciones de menú/cóctel con foto; desglose de precios con qué incluye; pasos para confirmar","Cóctel Esencial: 48€/pax | Cóctel Estándar: 58€/pax | Cóctel Premium: 68€/pax","Ubicación única en Seda Club Hotel Granada con acceso desde el centro; equipo propio con chef ejecutivo; producto local de Granada; coordinador dedicado durante todo el evento; parking gratuito para asistentes","Open bar de vinos y cava (+15€/pax); menú infantil si hay niños (+18€/niño); decoración corporativa con logo empresa (+200€); fotografía del evento (+350€)",Email de confirmación con datos bancarios para señal del 30%; contrato PDF adjunto; plazo de 15 días para la propuesta,"Email de satisfacción 24h post-evento + solicitud de reseña en Google Maps + propuesta de acuerdo marco para eventos recurrentes"
2,Primera consulta por teléfono de particular (boda o celebración privada),Familia o particular para celebración personal,Dedicar 10 minutos a entender la ocasión especial antes de hablar de precio; mostrar empatía y entusiasmo por la celebración,"Propuesta PDF personalizada: portada con el nombre de los novios o el tipo de celebración; menú sugerido con descripción poética de cada plato; precio total todo incluido; condiciones y señal","Boda hasta 60 pax menú completo: desde 78€/pax (sin bebidas) o 92€/pax (con maridaje completo). Cumpleaños 50 pax cóctel: desde 55€/pax","Atención personalizada durante todo el evento; maître dedicado; chef que adapta el menú a las preferencias del cliente; espacio único con vistas a Granada; gestión de toda la logística","Tarta personalizada de celebración (+55€); decoración floral especial (+180-650€ según pack); menú infantil (+18€/niño); barras de cócteles personalizados (+12€/pax)","Reserva con señal del 30% para asegurar la fecha; contrato firmado digitalmente; recordatorio telefónico personal a la semana","Llamada personal 48h después del evento para saber cómo salió; solicitud de reseña y foto para Instagram (con permiso); contacto en el aniversario del evento al año siguiente"
3,Cliente recurrente que solicita nuevo evento,Empresa o particular que ya ha celebrado al menos 1 evento en Oído Cocina,Tratar como VIP desde el primer contacto; mencionar el evento anterior y lo que fue bien; ofrecer condiciones preferentes sin que las pidan,"Propuesta simplificada (no de primero contacto): email directo con la propuesta actualizada referenciando el evento anterior y ofreciendo las mejoras de esta temporada","Precio de cliente recurrente: 5% descuento sobre tarifa vigente para el tipo de evento. Para >5 eventos o >5.000€ acumulado: 8% descuento","Conocen la calidad porque ya la vivieron; facilitar el proceso de decisión; oferta de cata previa gratuita; sin sorpresas porque ya saben qué incluye el precio","Upgrade de bebidas sin coste extra (vino de categoría superior sin cambiar el precio); prioridad en la elección de espacio; personalización del menú sin coste adicional","Confirmación en 1 llamada (sin el proceso largo del primer contacto) + señal reducida al 20% para clientes con historial limpio","Seguimiento trimestral de todos los clientes recurrentes; llamada proactiva antes de fechas estacionales relevantes para el cliente (Navidad, Semana Santa, aniversario empresa)"
4,Cliente que compara precios con la competencia,Cualquier tipo (corporativo o particular),No entrar en guerra de precios; diferenciarse por el valor único del espacio y el producto; mostrar en qué se es superior sin atacar a la competencia,"Email de respuesta a la objeción de precio: párrafo explicando qué incluye el precio de Oído Cocina vs lo que suele incluir la competencia; invitación a visita presencial para ver la diferencia","Mantener precio de catálogo sin descuento; máximo 3% descuento si el cliente es decisivo y el evento es grande (>80 pax)","Producto local de Granada con DOP (Jamón Trévelez, quesos Alpujarreños, AOVE Sierra Nevada) que otros no tienen; chef ejecutivo propio vs chef de catering externo; espacio exclusivo no compartido; vista única de Granada","Cata gratuita para grupos >30 pax que no se deciden (inversión de adquisición); tour presencial del espacio para grupos >20 pax","Ofrecer visita presencial del espacio antes de la decisión final; la mayoría de los clientes indecisos confirman tras la visita","Si no confirman: seguimiento cada 2 meses para no perder el contacto; incluir en la newsletter mensual de novedades"
5,Evento de última hora (menos de 7 días de antelación),Urgente de cualquier tipo (corporativo o particular),Confirmar disponibilidad primero; si hay disponibilidad: propuesta express en menos de 1h con menú fijo sin personalización y precio de urgencia,"Propuesta express de 2 páginas: menú fijo del día (sin opciones alternativas) + precio total con suplemento de urgencia + condiciones simplificadas (pago completo al confirmar)","Cóctel urgencia: +10€/pax sobre tarifa. Menú urgencia: +15€/pax sobre tarifa. Desayuno urgencia: +8€/pax. El suplemento se justifica por la logística de última hora","Única opción disponible en Granada con calidad garantizada en ese plazo; equipo siempre preparado; gestión inmediata; no hay riesgo de que se queden sin proveedor","No hay upsell en eventos urgentes; el objetivo es confirmar el servicio básico lo antes posible; cualquier personalización es para el siguiente evento","Confirmación y pago completo inmediato (transferencia o tarjeta) antes de confirmar; sin señal: pago total al confirmar","Proponer al cliente organizar el siguiente evento con 3+ semanas de antelación ofreciendo precio especial por el buen entendimiento del evento urgente"
6,Cliente interno del hotel (huéspedes o grupos de alojamiento),Grupos de viajeros o empresas con paquete de alojamiento en Seda Club Hotel,Propuesta integrada con la estancia del hotel; simplificar la decisión con una sola factura para alojamiento + evento; coordinar directamente con recepción del hotel,"Propuesta de 1 página integrada en el paquete del hotel: menú + espacio + servicios de hotel incluidos o disponibles; precio todo en uno sin separar conceptos","Tarifa interna hotel: 10-15% descuento sobre tarifa de mercado. Cóctel interno: 42€/pax | Menú interno: 60€/pax | Desayuno interno: 22€/pax","Comodidad total (una sola factura, un solo interlocutor); no tienen que salir del hotel; coordinación perfecta con recepción y conserjería; experiencia gastronómica que complementa la estancia","Upgrade de habitación para el organizador del grupo (+50€); late checkout + brunch privado después del evento (+28€/pax); excursión gastronómica por Granada coordinada desde el hotel (+45€/pax)","Propuesta directa desde recepción del hotel o por email desde el equipo de eventos; pago integrado en la factura del hotel al checkout","Encuesta de satisfacción integrada en el proceso de checkout del hotel; seguimiento del gestor del grupo para eventos futuros en Granada"
7,Cliente que solicita evento pero el presupuesto es muy ajustado,Cualquier tipo con restricción presupuestaria clara,Escuchar el presupuesto primero; proponer lo mejor posible dentro de esa restricción; nunca rechazar por el precio sin ofrecer alternativa,"Propuesta ajustada: menú simplificado (2 vueltas en lugar de 3) o cóctel con menos variedad de canapés; especificar exactamente qué incluye y qué no","Menú 2 vueltas desde 50€/pax | Cóctel reducido (6 canapés + bebidas básicas): desde 38€/pax | Desayuno simple: desde 20€/pax","El precio incluye calidad de producto y servicio garantizado; aunque sea el formato más sencillo el cliente recibe la misma atención","Mostrar en la propuesta qué mejora tendría si aumenta 5€/pax (anchoring por comparación); si el presupuesto es 38€/pax mostrar la opción de 43€/pax como mejora marginal con gran salto de calidad","Confirmar que el cliente entiende exactamente qué incluye y qué no; evitar sorpresas el día del evento por expectativas no alineadas con el presupuesto","Mantener contacto con newsletter mensual; en 6 meses el presupuesto puede haberse actualizado y el cliente puede volver con mejor capacidad de compra"
8,Propuesta para cena de empresa de fin de año,Empresa corporativa de Granada o provincia,Contacto proactivo en octubre para las fechas de diciembre; no esperar a que llamen; proponer activamente con fechas disponibles,"Propuesta Navidad: documento festivo con las opciones navideñas (menú empresa 4 pases / cóctel navideño / Nochevieja privada); con las fechas disponibles marcadas claramente","Menú de empresa Navidad: desde 65€/pax (sin bebidas) o 80€/pax (con vinos y cava). Cóctel navideño: desde 55€/pax. Nochevieja privada: desde 110€/pax (todo incluido con cotillón y uvas)","Las mejores fechas de diciembre se agotan en noviembre; asegurar su fecha ahora; exclusividad del espacio; carta navideña de temporada con producto de invierno de las Alpujarras; ambiente de Navidad único en Granada","Cotillón personalizado con el logo de la empresa (+3€/pax); regalo de empresa en la mesa (tabla de quesos granadinos para llevar, +12€/pax); DJ o música en vivo (+400-800€)","Reserva con señal del 30% antes del 31 de octubre para asegurar la fecha; sin señal la fecha no queda reservada","Llamar a los clientes de diciembre del año anterior en septiembre como primer contacto; tienen más probabilidad de repetir si la experiencia fue buena"
9,Negociación con grupo grande (más de 100 pax),Empresa grande o grupo de turismo corporativo,Preparar un escenario de descuento por volumen con límites claros y aprobación de dirección previa a la negociación,"Propuesta escalonada por tamaño de grupo: tarifa A para 60-100 pax / tarifa B para 101-150 pax / tarifa C para más de 150 pax; mostrar el ahorro por escalar","Tarifa escalonada cóctel: 60-100 pax = 58€/pax | 101-150 pax = 52€/pax | >150 pax = 47€/pax. Menú: 60-100 pax = 75€/pax | 101-150 pax = 68€/pax | >150 pax = 62€/pax","La economía de escala es real: la logística de 150 pax es más eficiente por persona que la de 60 pax; el descuento está justificado y no es un favor","Exclusividad del espacio completo durante todo el día (+500€ tarifa flat); branding del evento con señalización de la empresa en el espacio (+250€); valet parking coordinado (+8€/coche)","Descuento adicional del 3% si pagan el 100% del importe al confirmar la reserva (50 días antes mínimo)","Invitación a visita del espacio el mes siguiente para planificar el siguiente evento del año; proponer acuerdo marco para todos los eventos del año siguiente"
10,Upsell de open bar post-confirmación del evento,Cliente que ya tiene el menú o cóctel confirmado,Proponer el open bar en el email de seguimiento de la confirmación o en la llamada de 48h; no en el primer contacto,Email personalizado específicamente para el evento confirmado con desglose de qué incluye la barra libre y el coste exacto para el número de pax confirmado,"+15€/pax barra libre estándar (vinos blancos/tintos/cava/cervezas/refrescos/agua/café). +25€/pax barra libre premium (añade cócteles artesanos y destilados de calidad). Calcular siempre el importe total: 60 pax × 15€ = 900€ total","El cliente no tiene que preocuparse de que se acabe la bebida; gestión profesional y discreta por el equipo de barra; mayor disfrute de los invitados; elimina la presión del anfitrión de estar pendiente de la bebida","Si acepta la barra libre: proponer además el pack de cócteles de bienvenida (+4€/pax, diferente de la barra libre, solo al inicio)","Oferta válida hasta 5 días antes del evento; después no es posible ajustar la logística de bebidas","Verificar en el post-evento si la barra libre fue suficiente o se quedó corta para ajustar los cálculos futuros; el feedback sobre la barra es muy útil para la planificación"
